"SNo","InstituteType","InstituteName","Branch","Class","Gender","Category","MPDomicile","OpeningRank","ClosingRank"
505,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","EE","X","OP","UR","Y",244094,400263
506,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CE","X","OP","OBC","Y",333802,401801
507,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","MECH","X","F","OBC","Y",369313,415687
508,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","EC","S","OP","UR","Y",416668,416668
509,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","EC","X","F","OBC","Y",410614,420842
510,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","EC","X","F","OBC","Y",413813,435085
511,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","CE","X","F","SC","Y",386304,439667
512,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CE","X","OP","UR","Y",283190,441823
513,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","CSE","X","F","SC","Y",434915,443281
514,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","EE","X","F","OBC","Y",220489,460625
515,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","IP","X","F","UR","Y",293421,466707
516,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","CE","S","OP","OBC","Y",468073,468073
517,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","EC","X","OP","UR","Y",232987,475291
518,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CE","X","OP","EWS","Y",390911,479016
519,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","EC","X","OP","SC","Y",314530,481982
520,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","EE","X","F","SC","Y",398260,483467
521,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","IP","X","OP","UR","Y",148372,487289
522,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","MECH","X","OP","EWS","Y",246312,488121
523,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","CE","X","OP","SC","Y",317987,493866
524,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CHEM","X","F","OBC","Y",362954,507510
525,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","EE","X","OP","SC","Y",321051,509292
526,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","CE","X","F","UR","Y",282846,514671
527,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","EC","X","OP","EWS","Y",164362,520051
528,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CHEM","X","F","UR","Y",300550,522187
529,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","CSE","NCC","F","UR","Y",522832,522832
530,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","CE","X","OP","UR","Y",126603,528894
531,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","EC","X","F","SC","Y",532009,532009
532,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CE","X","F","ST","Y",537964,537964
533,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","CSE","X","F","ST","Y",200357,538884
534,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","EE","X","F","SC","Y",547551,547551
535,"Government Autonomous","Nowgong Engineering College, Nowgong (NEC) (2012)","MECH","X","OP","OBC","Y",551732,551732
536,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","IP","X","OP","OBC","Y",180818,556679
537,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","EC","X","F","SC","Y",451755,559719
538,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","EC","X","F","UR","Y",242256,565760
539,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","MECH","X","OP","UR","Y",240568,569708
540,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","EE","X","OP","EWS","Y",370353,580310
541,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","MTENG","X","F","SC","Y",571922,592658
542,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","CE","X","OP","ST","Y",597322,597322
543,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","EE","X","F","UR","Y",468191,600018
544,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","EE","X","F","UR","Y",521623,601184
545,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","CSE","S","OP","UR","Y",602048,602048
546,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","IT","X","F","ST","Y",494985,606538
547,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","EE","X","F","OBC","Y",401143,612022
548,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","MECH","X","F","OBC","Y",613741,613741
549,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","AIAIDS","NCC","F","UR","Y",621955,621955
550,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","AIAIDS","X","F","ST","Y",522491,626985
551,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CE","X","OP","ST","Y",420938,632031
552,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CE","X","F","UR","Y",464806,632366
553,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","CE","X","F","OBC","Y",541855,632465
554,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","IT","FF","F","OBC","Y",632677,632677
555,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","CE","X","OP","ST","Y",344999,635843
556,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","EC","X","F","UR","Y",494018,636224
557,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","IT","X","OP","ST","Y",402313,640336
558,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","MECH","X","F","UR","Y",304601,652641
559,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","MECH","X","OP","OBC","Y",159352,653377
560,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","CE","X","F","OBC","Y",448869,654570
561,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CHEM","X","OP","EWS","Y",508745,657010
562,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","MECH","X","F","SC","Y",527979,661125
563,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","EC","X","OP","SC","Y",635392,664868
564,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","CE","X","F","ST","Y",452412,667587
565,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","EC","NCC","OP","UR","Y",673778,673778
566,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","EE","X","OP","UR","Y",336058,676171
567,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","EC","X","OP","OBC","Y",309855,688438
568,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","AIAIDS","X","OP","ST","Y",411018,706415
569,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","MECH","X","OP","EWS","Y",234012,708722
570,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CSE","H","OP","OBC","Y",715510,715510
571,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CSE","FF","OP","UR","Y",718332,718332
572,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","MECH","X","OP","SC","Y",336895,723124
573,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","EC","X","OP","OBC","Y",168221,741302
574,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","EC","X","OP","UR","Y",296434,746748
575,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","EE","X","OP","ST","Y",455491,756668
576,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CSE","X","F","ST","Y",593556,788300
577,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","MECH","X","OP","SC","Y",449162,790857
578,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","CSE","X","OP","SC","Y",333974,791071
579,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","EE","X","OP","ST","Y",542474,794129
580,"Government Autonomous","Nowgong Engineering College, Nowgong (NEC) (2012)","CE","X","OP","EWS","Y",407623,804000
581,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","MTENG","X","OP","ST","Y",804398,804398
582,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","MECH","X","F","ST","Y",805503,805503
583,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","CE","X","OP","SC","Y",689836,809387
584,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","MECH","X","OP","UR","Y",358703,810281
585,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","CSE","H","OP","UR","Y",810306,810306
586,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","CSE","H","OP","SC","Y",810399,810399
587,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CSE","X","M","UR","N",814848,814848
588,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","EE","X","OP","ST","Y",818744,818744
589,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","AIAIDS","X","F","UR","N",822723,822723
590,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","EC","X","OP","ST","Y",480393,826175
591,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","EC","X","OP","SC","Y",388691,829952
592,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CHEM","X","OP","SC","Y",500273,836161
593,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","CE","X","F","ST","Y",840362,840362
594,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CSE","X","OP","ST","Y",474725,841901
595,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","IT","H","OP","UR","Y",852990,852990
596,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","MECH","X","OP","ST","Y",479603,859185
597,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","CSE","X","OP","ST","Y",410827,861982
598,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","EE","X","OP","SC","Y",473813,865767
599,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","MECH","X","OP","ST","Y",872096,872096
600,"Government Autonomous","Nowgong Engineering College, Nowgong (NEC) (2012)","CE","X","OP","OBC","Y",645792,873311
601,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CHEM","X","F","SC","Y",875140,875140
602,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","EE","X","OP","EWS","Y",752483,876214
603,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","CE","X","OP","EWS","Y",616253,876856
604,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","MECH","X","F","UR","Y",564052,902878
605,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CHEM","X","OP","UR","Y",365772,907642
606,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","MTENG","S","OP","UR","Y",909492,909492
607,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","MECH","X","OP","SC","Y",462128,914653
608,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","EC","X","F","ST","Y",538225,918999
609,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","MECH","X","OP","OBC","Y",399805,936879
610,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","CE","X","F","SC","Y",794863,946007
611,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CE","X","F","SC","Y",950051,950051
612,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","EE","X","OP","SC","Y",962009,962009
613,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","EE","X","OP","OBC","Y",277030,962019
614,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","IP","X","OP","SC","Y",706872,969697
615,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","MECH","X","F","UR","Y",978515,978515
616,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","EE","X","F","ST","Y",888460,991940
617,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","CE","X","OP","UR","Y",374922,1002611
618,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","EE","X","OP","OBC","Y",366393,1005275
619,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","MTENG","X","OP","SC","Y",389893,1008514
620,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CE","X","OP","SC","Y",573373,1010868
621,"Government Autonomous","UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966)","CHEM","X","OP","OBC","Y",240562,1014856
622,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","CE","X","OP","OBC","Y",664365,1016847
623,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","MECH","X","OP","EWS","Y",695701,1018843
624,"Government Autonomous","Nowgong Engineering College, Nowgong (NEC) (2012)","CE","X","OP","UR","Y",460671,1024638
625,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","IT","X","F","ST","Y",1036573,1036573
626,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","EE","X","OP","UR","Y",165009,1046391
627,"Government Autonomous","Jabalpur Engineering College, Jabalpur, (JEC) (1947)","IP","X","F","SC","Y",728982,1046433
628,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","MECH","X","OP","OBC","Y",254961,1059966
629,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","CE","X","F","UR","Y",793307,1061206
630,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","IT","X","OP","SC","Y",395784,1073576
631,"Government Autonomous","Indira Gandhi Engineering College, Sagar (IGEC) (1981)","CE","X","OP","SC","Y",579387,1076134
632,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","CE","X","OP","OBC","Y",301804,1107487
633,"Government Autonomous","Rewa Engineering College, Rewa (REC) (1964)","MECH","X","OP","UR","Y",520975,1110034
634,"Private","SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC, BALAGHAT","CSE","","","UR","",92153,92153
635,"Private","Shri Guru Sandipani Institute of Technology & Science, Ujjain (2009)","EC","","","UR","",106394,106394
636,"Private","Rajeev Gandhi Prodyogiki Mahavidhyalaya, Bhopal (2006)","CSE","","","OBC","",69530,111713
637,"Private","Rajeev Gandhi Prodyogiki Mahavidhyalaya, Bhopal (2006)","CSE","","","EWS","",95881,113882
638,"Private","Lakshmi Narain College of Technology, Indore (2004)","EC","","","UR","",115804,115804
639,"Private","Maharana Pratap College of Technology, Gwalior (1996)","CSE","","","OBC","",126933,126933
640,"Private","Lakshmi Narain College of Technology, Bhopal (1994)","CSE","","","UR","",52540,136225
641,"Private","Lakshmi Narain College of Technology, Bhopal (1994)","CSE","","","OBC","",12041,137592
642,"Private","Bethesda Institute of Technology and Science, Gwalior (2011)","CSE","","","UR","",138482,138482
643,"Private","Lakshmi Narain College of Technology, Bhopal (1994)","CSE","","","EWS","",79616,141948
644,"Private","Rajeev Gandhi Prodyogiki Mahavidhyalaya, Bhopal (2006)","CSE","","","UR","",104675,158215
645,"Private","Aditya College of Technology & Science, Satna (2007)","MINING","","","UR","",159735,159735
646,"Private","Lakshmi Narain College of Technology, Bhopal (1994)","CSEIML","","","UR","",54397,161658
647,"Private","Gyan Ganga College of Technology, Jabalpur (2006)","AIAIDS","","","UR","",172091,172091
648,"Private","Trinity Institute of Technology & Research, Bhopal (2008)","CSEDS","","","EWS","",172753,172753
649,"Private","Infinity Management & Engineering College, Sagar (2008)","MECH","","","EWS","",173285,173285
650,"Private","Lakshmi Narain College of Technology, Bhopal (1994)","CSEIML","","","EWS","",105630,174850
651,"Private","Acropolis Institute of Technology & Research, Indore (2005)","CSE","","","OBC","",71818,187846
652,"Private","Lakshmi Narain College of Technology, Bhopal (1994)","AIADS","","","EWS","",85028,198404
653,"Private","Oriental Institute of Science & Technology, Jabalpur (2008)","EC","","","OBC","",201096,201096
654,"Private","Acropolis Institute of Technology & Research, Indore (2005)","CSE","","","EWS","",59186,203752
655,"Private","Acropolis Institute of Technology & Research, Indore (2005)","CSE","","","UR","",100613,204340
656,"Private","Jai Narain College of Technology, Bhopal (2003)","MECH","","","UR","",205579,205579
657,"Private","Lakshmi Narain College of Technology, Bhopal (1994)","AIADS","","","UR","",110064,209194
658,"Private","Lakshmi Narain College of Technology, Bhopal (1994)","CSEITCS","","","UR","",104394,209411
659,"Private","SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC, BALAGHAT","CSE","","","EWS","",214133,214133
660,"Private","Lakshmi Narain College of Technology & Science, Bhopal (2006)","CSE","","","UR","",80406,214796
661,"Private","Shri Guru Sandipani Institute of Technology & Science, Ujjain (2009)","EC","","","OBC","",218262,218262
662,"Private","Lakshmi Narain College of Technology & Science, Bhopal (2006)","CSE","","","EWS","",133799,227014
663,"Private","Shri Ram Institute of Technology, Jabalpur (2001)","CEng","","","UR","",245258,245258
664,"Private","Lakshmi Narain College of Technology, Bhopal (1994)","CSEITCS","","","EWS","",119163,248532
665,"Private","Corporate Institute of Science & Technology, Bhopal (2008)","CSE","","","OBC","",248956,248956
666,"Private","Lakshmi Narain College of Technology, Bhopal (1994)","CSEIML","","","OBC","",138363,255690
667,"Private","Nagaji Institute of Technology & Management, Gwalior (2003)","IT","","","UR","",266681,266681
668,"Private","Acropolis Institute of Technology & Research, Indore (2005)","IT","","","EWS","",204775,271188
669,"Private","Lakshmi Narain College of Technology & Science, Bhopal (2006)","CSEIML","","","UR","",186260,283887
670,"Private","Acropolis Institute of Technology & Research, Indore (2005)","CSEIML","","","EWS","",78019,295495
671,"Private","Oriental Institute of Science & Technology, Bhopal (1995)","CSE","","","UR","",22825,296584
672,"Private","Acropolis Institute of Technology & Research, Indore (2005)","IT","","","UR","",205053,298192
673,"Private","Oriental Institute of Science & Technology, Bhopal (1995)","CSE","","","EWS","",169030,307060
674,"Private","Lakshmi Narain College of Technology Excellence, Bhopal (2007)","CSE","","","UR","",86803,307191
675,"Private","Lakshmi Narain College of Technology & Science, Bhopal (2006)","CSEIML","","","EWS","",149878,308508
676,"Private","Technocrats Institute of Technology & Science, Bhopal (2007)","MECH","","","UR","",314836,314836
677,"Private","Vidhyapeeth Institute of Science & Technology, Bhopal (2009)","CSE","","","OBC","",318383,318383
678,"Private","Acropolis Institute of Technology & Research, Indore (2005)","CSEIML","","","UR","",106424,324572
679,"Private","IPS Academy, Institute of Engineering and Science, Indore (1999)","CSE","","","EWS","",166725,326327
680,"Private","Patel College of Science & Technology, Indore (2005)","CSE","","","EWS","",327388,327388
681,"Private","Lakshmi Narain College of Technology & Science, Bhopal (2006)","CSECS","","","UR","",160419,338553
682,"Private","Acropolis Institute of Technology & Research, Indore (2005)","IT","","","OBC","",202447,338938
683,"Private","Prashantee Institute of Technology & Science, Ujjain (2008)","MECH","","","EWS","",341772,341772
684,"Private","Sagar Institute of Science & Technology (SISTEC) Bhopal (2007)","ELECT ELEX","","","UR","",345930,345930
685,"Private","Lakshmi Narain College of Technology & Science, Bhopal (2006)","CSE","","","OBC","",103722,346251
686,"Private","IPS Academy, Institute of Engineering and Science, Indore (1999)","CSE","","","UR","",82112,346649
687,"Private","Takshshila Institute of Engineering & Technology, Jabalpur (2004)","CSE","","","EWS","",348344,348344
688,"Private","Swami Vivekanand College of Engineering, Indore (2004)","IT","","","UR","",353041,353041
689,"Private","Bansal Institute of Science & Technology, Bhopal (2000)","MECH","","","SC","",356282,356282
690,"Private","IES College of Technology, Bhopal (2007)","EC","","","OBC","",357259,357259
691,"Private","Lakshmi Narain College of Technology Excellence, Bhopal (2007)","CSEIML","","","UR","",76735,360391
692,"Private","Aditya College of Technology & Science, Satna (2007)","CE","","","UR","",362214,362214
693,"Private","Lakshmi Narain College of Technology Excellence, Bhopal (2007)","CSE","","","EWS","",244158,364207
694,"Private","Gyan Sagar College of Engineering, Sagar (2009)","CSEAI","","","UR","",365577,365577
695,"Private","IES College of Technology, Bhopal (2007)","ELECT ELEX","","","UR","",317760,366661
696,"Private","Sri Aurobindo Institute of Technology, Indore (2009)","CE","","","EWS","",370846,370846
697,"Private","Acropolis Institute of Technology & Research, Indore (2005)","CSEDS","","","UR","",87077,372098
698,"Private","Institute of Technology and Management, Gwalior (1997)","EC","","","OBC","",374287,374287
699,"Private","Acropolis Institute of Technology & Research, Indore (2005)","CSEDS","","","EWS","",219311,375363
700,"Private","Acropolis Institute of Technology & Research, Indore (2005)","CSIT","","","UR","",99788,375650
701,"Private","Gwalior Institute of Information Technology, Gwalior (2008)","MECH","","","EWS","",378415,378415
702,"Private","Gwalior Institute of Information Technology, Gwalior (2008)","EC","","","UR","",379655,379655
703,"Private","Acropolis Institute of Technology & Research, Indore (2005)","CSIT","","","EWS","",146992,380749
704,"Private","Shri Ram Institute of Science & Technology, Jabalpur (2007)","CSEITCS","","","SC","",381849,381849
705,"Private","Swami Vivekanand College of Science & Technology, Bhopal (2006)","CSE","","","OBC","",382022,382022
706,"Private","Lakshmi Narain College of Technology & Science, Bhopal (2006)","CE","","","SC","",385829,385829
707,"Private","Rewa Institute of Technology, Rewa (2003)","CSE","","","OBC","",271637,388005
708,"Private","Acropolis Institute of Technology & Research, Indore (2005)","CSECS","","","UR","",109467,389473
709,"Private","Sri Aurobindo Institute of Technology, Indore (2009)","CSEIML","","","UR","",392477,392477
710,"Private","Lakshmi Narain College of Technology & Science, Bhopal (2006)","CSECS","","","EWS","",182789,396404
711,"Private","Lakshmi Narain College of Technology, Bhopal (1994)","AIADS","","","OBC","",90497,396564
712,"Private","Acropolis Institute of Technology & Research, Indore (2005)","CSECS","","","EWS","",308672,397846
713,"Private","Lakshmi Narain College of Technology Excellence, Bhopal (2007)","CSEDS","","","UR","",184752,399631
714,"Private","Corporate Institute of Science & Technology, Bhopal (2008)","MECH","","","UR","",400526,400526
715,"Private","IPS Academy, Institute of Engineering and Science, Indore (1999)","CSE","","","OBC","",120952,400736
716,"Private","Sri Aurobindo Institute of Technology, Indore (2009)","CSE","","","EWS","",402411,402411
717,"Private","JAWAHARLAL INSTITUTE OF TECHNOLOGY, BORAWAN(M.C.A.)","CSEDS","","","SC","",408740,408740
718,"Private","IES College of Technology, Bhopal (2007)","CSEDS","","","SC","",409567,409567
719,"Private","Lakshmi Narain College of Technology, Bhopal (1994)","EC","","","UR","",130473,410947
720,"Private","Sushila Devi Bansal College of Technology, indore (2005)","EC","","","ST","",411625,411625
721,"Private","Guru Ramdas Khalsa Institute of Science & Technology, Jabalpur (1997)","CSE","","","UR","",324330,425113
722,"Private","Acropolis Institute of Technology & Research, Indore (2005)","IT","","","ST","",425198,425198
723,"Private","SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM), SATNA","CSE","","","UR","",426358,426358
724,"Private","Oriental Institute of Science & Technology, Jabalpur (2008)","CSE","","","OBC","",431488,431488
725,"Private","Sri Aurobindo Institute of Technology, Indore (2009)","CE","","","UR","",436154,436154
726,"Private","Sagar Institute of Science, Technology & Engineering(SISTec-E), Bhopal (2009)","CSE","","","OBC","",436268,436268
727,"Private","Sha-Shib College of Technology, Bhopal (2009)","MECH","","","UR","",439384,439384
728,"Private","Indore Institute of Science & Technology, Indore (2003)","CSE","","","EWS","",229658,439659
729,"Private","Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)","CSE","","","ST","",447058,447058
730,"Private","Indore Institute of Science & Technology, Indore (2003)","CSE","","","UR","",67257,450013
731,"Private","Lakshmi Narain College of Technology, Bhopal (1994)","ECACT","","","UR","",247366,458108
732,"Private","Lakshmi Narain College of Technology & Science, Bhopal (2006)","EC","","","UR","",346922,458249
733,"Private","Acropolis Institute of Technology & Research, Indore (2005)","CSEIML","","","OBC","",144604,461458
734,"Private","Bansal Institute of Research & Technology, Bhopal (2007)","CSEDS","","","ST","",461531,461531
735,"Private","Technocrats Institute of Technology & Science, Bhopal (2007)","EC","","","UR","",361029,469893
736,"Private","Lakshmi Narain College of Technology Excellence, Bhopal (2007)","CSEIML","","","EWS","",285889,474759
737,"Private","Oriental College of Technology, Bhopal (2002)","ELECT ELEX","","","OBC","",475500,475500
738,"Private","Lakshmi Narain College of Technology, Bhopal (1994)","CSEITCS","","","OBC","",142847,485562
739,"Private","Adina Institute of Science & Technology, Sagar (2009)","CSE","","","OBC","",485784,485784
740,"Private","Millenium Institute of Technology and Science, Bhopal (2007)","CSE","","","UR","",487946,487946
741,"Private","Shri Ram Group of Institution (Faculty of Engineering, Pharmacy, MBA, MCA), Jabalpur (2009)","CE","","","OBC","",488603,488603
742,"Private","Vindhya Institute of Technology & Science, Satna (2002)","EE","","","EWS","",495308,495308
